,,,,,,,,,,,,,,,,,
Most Used Page,Had Free Trial,User MRR,Weekly Logins,Company Name,Industry,Company Size,Territory,Sales Call in Trial,Slack Integration,Salesforce Integration,Gmail Integration,Most common referrer,Sales Touches to Close,Used Admin Panel,Has Issued Support Request,,
/home,No,39,2,HP,Technology,>$10B,West,No,No,No,Yes,hotels.com,5,No,No,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,Yes,No,hotels.com,16,No,Yes,,
/tool/search,Yes,169,3,HP,Technology,>$10B,West,Yes,Yes,Yes,No,hotels.com,4,No,Yes,,
/tool/storyboard,No,39,2,HP,Technology,>$10B,West,No,No,No,No,zoom.com,15,No,Yes,,
/tool/storyboard,No,1299,7,HP,Technology,>$10B,West,No,No,Yes,No,/mail.google.com,5,No,Yes,,
/tool/storyboard,No,169,6,HP,Technology,>$10B,West,Yes,No,No,Yes,/facebook.com,11,No,Yes,,
/tool/storyboard,Yes,39,16,HP,Technology,>$10B,West,No,Yes,No,Yes,/mail.google.com,6,Yes,Yes,,
/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,No,No,No,/slack.com,13,Yes,Yes,,
/tool/storyboard,No,1299,5,HP,Technology,>$10B,West,No,No,No,No,zoom.com,5,No,Yes,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,5,No,Yes,,
/tool/storyboard,No,169,1,HP,Technology,>$10B,West,No,No,Yes,No,/tripadvisor.com,8,Yes,No,,
/tool/build_query,No,39,1,HP,Technology,>$10B,West,No,No,No,No,/mail.google.com,7,Yes,Yes,,
/tool/storyboard,No,39,2,HP,Technology,>$10B,West,Yes,No,Yes,No,/tripadvisor.com,5,No,Yes,,
/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,Yes,Yes,Yes,No,/google.com,6,Yes,Yes,,
/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,No,Yes,Yes,Yes,zoom.com,4,No,Yes,,
/tool/storyboard,No,39,5,HP,Technology,>$10B,West,No,No,Yes,No,/tripadvisor.com,10,No,Yes,,
/tool/storyboard,Yes,169,14,HP,Technology,>$10B,West,No,No,No,Yes,/facebook.com,7,Yes,Yes,,
/tool/storyboard,Yes,39,15,HP,Technology,>$10B,West,Yes,Yes,No,No,hotels.com,14,No,Yes,,
/tool/storyboard,Yes,1299,7,HP,Technology,>$10B,West,Yes,Yes,No,No,/facebook.com,13,Yes,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,Yes,No,Yes,Yes,zoom.com,4,No,No,,
/tool/storyboard,Yes,169,12,HP,Technology,>$10B,West,No,Yes,No,Yes,/slack.com,15,Yes,No,,
/tool/build_query,No,169,2,HP,Technology,>$10B,West,No,No,No,No,hotels.com,12,No,No,,
/tool/storyboard,No,39,5,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/google.com,5,Yes,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,No,/facebook.com,11,No,Yes,,
/dashboard,No,39,3,HP,Technology,>$10B,West,No,No,Yes,Yes,/tripadvisor.com,7,Yes,Yes,,
/tool/storyboard,Yes,39,12,HP,Technology,>$10B,West,No,Yes,Yes,No,/slack.com,10,Yes,No,,
/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,No,No,Yes,Yes,/facebook.com,15,No,No,,
/login,No,39,1,HP,Technology,>$10B,West,No,No,No,No,/quora,4,Yes,Yes,,
/tool/search,No,1299,3,HP,Technology,>$10B,West,No,No,No,No,/mail.google.com,8,No,Yes,,
/dashboard,No,39,3,HP,Technology,>$10B,West,No,No,No,Yes,zoom.com,11,Yes,Yes,,
/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,No,No,Yes,/tripadvisor.com,14,Yes,No,,
/tool/storyboard,Yes,1299,14,HP,Technology,>$10B,West,Yes,Yes,Yes,Yes,zoom.com,4,No,No,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,hotels.com,16,No,No,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,/tripadvisor.com,9,Yes,Yes,,
/tool/storyboard,Yes,169,7,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/slack.com,14,No,Yes,,
/tool/storyboard,Yes,39,8,HP,Technology,>$10B,West,No,Yes,No,No,/mail.google.com,13,No,No,,
/tool/storyboard,No,169,3,HP,Technology,>$10B,West,Yes,No,No,Yes,/tripadvisor.com,5,No,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,zoom.com,8,No,Yes,,
/tool/storyboard,No,169,6,HP,Technology,>$10B,West,Yes,No,No,Yes,hotels.com,12,No,Yes,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,No,Yes,/facebook.com,15,No,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,/mail.google.com,4,No,Yes,,
/tool/storyboard,Yes,169,7,HP,Technology,>$10B,West,No,No,No,Yes,/tripadvisor.com,12,No,No,,
/tool/storyboard,Yes,39,13,HP,Technology,>$10B,West,Yes,Yes,No,No,/slack.com,4,No,No,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,No,No,/slack.com,11,No,Yes,,
/tool/storyboard,Yes,1299,12,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/mail.google.com,16,Yes,Yes,,
/tool/storyboard,No,169,6,HP,Technology,>$10B,West,No,No,No,Yes,/facebook.com,11,Yes,Yes,,
/login,No,169,4,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,6,No,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,hotels.com,12,Yes,Yes,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,Yes,Yes,/facebook.com,12,Yes,Yes,,
/tool/storyboard,Yes,39,15,HP,Technology,>$10B,West,No,No,No,No,hotels.com,14,Yes,Yes,,
/tool/storyboard,Yes,1299,16,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/slack.com,13,No,No,,
/tool/build_query,No,169,2,HP,Technology,>$10B,West,No,No,No,No,/mail.google.com,12,Yes,No,,
/tool/storyboard,No,39,3,HP,Technology,>$10B,West,No,No,Yes,Yes,/mail.google.com,12,No,Yes,,
/tool/build_query,No,1299,3,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,9,No,Yes,,
/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,No,No,No,/quora,7,No,No,,
/tool/storyboard,Yes,39,13,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/slack.com,9,Yes,Yes,,
/tool/storyboard,No,39,3,HP,Technology,>$10B,West,No,No,Yes,No,zoom.com,16,Yes,Yes,,
/home,No,39,4,HP,Technology,>$10B,West,Yes,No,No,No,/facebook.com,9,No,No,,
/tool/storyboard,No,39,7,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,4,No,No,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,Yes,Yes,zoom.com,13,Yes,No,,
/tool/storyboard,No,39,1,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/google.com,11,No,No,,
/tool/storyboard,No,39,5,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/tripadvisor.com,13,Yes,Yes,,
/tool/storyboard,No,39,2,HP,Technology,>$10B,West,No,No,No,Yes,/facebook.com,5,No,No,,
/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,No,/google.com,9,No,Yes,,
/tool/storyboard,No,169,4,HP,Technology,>$10B,West,Yes,No,No,Yes,/facebook.com,12,Yes,No,,
/login,No,169,3,HP,Technology,>$10B,West,Yes,No,No,Yes,/facebook.com,13,No,Yes,,
/tool/storyboard,No,39,7,HP,Technology,>$10B,West,No,No,Yes,Yes,/slack.com,13,No,No,,
/tool/storyboard,Yes,39,7,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/slack.com,10,No,No,,
/tool/storyboard,No,39,6,HP,Technology,>$10B,West,Yes,No,Yes,No,/slack.com,12,No,Yes,,
/tool/storyboard,Yes,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/facebook.com,15,No,No,,
/tool/storyboard,Yes,1299,10,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/slack.com,4,No,No,,
/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,zoom.com,12,No,Yes,,
/dashboard,Yes,169,12,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,No,/mail.google.com,14,Yes,No,,
/home,No,169,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,11,Yes,No,,
